,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
229,107/12/21,"15,258,272","715,736,084",46.90,47.00,46.80,46.95,-0.05,"4,154"
230,107/12/22,"1,930,561","90,548,941",47.00,47.00,46.85,46.85,-0.10,946
231,107/12/24,"11,810,225","547,804,027",46.70,46.80,46.20,46.50,-0.35,"5,277"
232,107/12/25,"8,945,382","411,515,523",46.00,46.10,45.90,46.00,-0.50,"3,984"
233,107/12/26,"4,538,742","209,217,126",46.05,46.40,46.00,46.00, 0.00,"2,221"
234,107/12/27,"7,739,469","360,107,208",46.50,46.70,46.30,46.70,+0.70,"3,917"
235,108/01/02,"12,388,695","573,849,589",47.20,47.25,45.90,45.90,-1.10,"5,389"
236,108/01/03,"17,509,748","794,866,519",45.80,45.85,45.15,45.15,-0.75,"8,154"
237,108/01/04,"16,109,879","719,409,113",44.70,44.95,44.30,44.55,-0.60,"6,021"
238,108/01/07,"18,144,219","821,952,417",45.10,45.55,44.95,45.20,+0.65,"5,002"
239,108/01/08,"7,596,516","344,219,218",45.55,45.60,45.10,45.15,-0.05,"3,403"
240,108/01/09,"25,489,207","1,169,091,882",45.60,46.10,45.35,45.95,+0.80,"7,924"
241,108/01/10,"12,154,327","557,729,039",45.95,46.00,45.80,45.85,-0.10,"5,079"
242,108/01/11,"14,953,513","683,873,121",45.80,46.00,45.50,45.55,-0.30,"5,885"
243,108/01/14,"23,814,687","1,063,206,318",45.15,45.15,44.40,44.40,-1.15,"9,597"
244,108/01/15,"39,391,266","1,734,652,829",44.40,44.40,43.70,43.75,-0.65,"14,715"
245,108/01/16,"33,047,249","1,438,413,758",43.75,43.85,43.35,43.60,-0.15,"11,181"
246,108/01/17,"24,781,401","1,085,024,844",43.55,43.95,43.50,43.80,+0.20,"7,685"
247,108/01/18,"24,994,401","1,088,632,886",43.90,43.90,43.35,43.50,-0.30,"8,963"
248,108/01/21,"16,859,113","738,985,072",43.65,44.00,43.60,43.80,+0.30,"6,313"
249,108/01/22,"18,078,066","797,115,085",43.90,44.30,43.90,44.20,+0.40,"5,982"
250,108/01/23,"16,316,761","715,281,024",43.80,44.05,43.75,43.75,-0.45,"6,631"
251,108/01/24,"16,917,410","737,891,998",43.80,43.90,43.50,43.55,-0.20,"6,611"
252,108/01/25,"21,646,449","943,770,821",43.55,43.80,43.50,43.50,-0.05,"7,696"
253,108/01/28,"26,722,390","1,163,930,731",43.60,43.80,43.35,43.80,+0.30,"7,568"
254,108/01/29,"17,247,552","754,782,838",43.70,43.90,43.55,43.90,+0.10,"5,311"
255,108/02/11,"22,238,946","971,205,234",43.85,44.00,43.55,43.55,-0.05,"7,248"
256,108/02/12,"22,562,216","990,313,154",43.60,44.20,43.55,43.90,+0.35,"8,419"
257,108/02/13,"19,855,269","875,894,647",43.95,44.40,43.90,44.30,+0.40,"7,849"
258,108/02/14,"20,918,025","931,880,828",44.30,44.70,44.25,44.55,+0.25,"7,455"
259,108/02/15,"14,033,534","623,578,094",44.55,44.65,44.20,44.20,-0.35,"5,503"
260,108/02/18,"18,514,026","823,445,126",44.30,44.65,44.30,44.40,+0.20,"5,355"
261,108/02/19,"10,329,499","460,855,471",44.65,44.70,44.50,44.60,+0.20,"4,103"
262,108/02/20,"17,460,123","785,508,814",44.75,45.20,44.70,45.15,+0.55,"6,642"
263,108/02/21,"14,780,572","667,771,543",45.15,45.40,45.00,45.40,+0.25,"5,414"
264,108/02/22,"12,877,583","582,598,056",45.30,45.40,45.10,45.40, 0.00,"4,411"
265,108/02/25,"11,333,842","515,607,755",45.45,45.60,45.40,45.55,+0.15,"4,614"
266,108/02/26,"15,737,860","716,681,009",45.60,45.65,45.50,45.50,-0.05,"4,465"
267,108/03/04,"33,691,438","1,497,981,658",43.95,45.00,43.95,44.90,-0.40,"10,185"
268,108/03/05,"14,515,878","650,865,441",44.70,45.05,44.60,44.60,-0.30,"4,450"
269,108/03/06,"9,682,921","435,180,245",44.90,45.00,44.75,44.95,+0.35,"3,978"
270,108/03/07,"16,035,535","716,664,494",44.90,44.90,44.55,44.65,-0.30,"5,808"
271,108/03/08,"11,344,406","504,862,675",44.60,44.65,44.40,44.45,-0.20,"4,841"
272,108/03/11,"12,941,851","575,840,339",44.45,44.70,44.30,44.40,-0.05,"4,334"
273,108/03/12,"15,567,977","700,832,915",44.80,45.20,44.75,45.00,+0.60,"6,155"
274,108/03/13,"8,231,893","371,160,220",45.00,45.20,45.00,45.15,+0.15,"3,816"
275,108/03/14,"9,454,680","427,150,910",45.20,45.30,45.05,45.10,-0.05,"3,644"
276,108/03/15,"24,243,727","1,099,713,423",45.20,45.50,45.05,45.45,+0.35,"5,726"
277,108/03/18,"14,239,599","650,079,786",45.50,45.80,45.50,45.80,+0.35,"4,966"
278,108/03/19,"31,948,973","1,487,667,841",46.00,46.80,46.00,46.65,+0.85,"10,243"
279,108/03/20,"21,676,582","1,016,141,289",46.90,47.00,46.70,46.95,+0.30,"7,136"
280,108/03/21,"14,281,859","667,034,812",47.00,47.00,46.50,46.75,-0.20,"5,320"
281,108/03/22,"26,050,354","1,204,590,378",46.75,46.75,45.90,46.20,-0.55,"8,027"
282,108/03/25,"18,160,564","824,497,889",45.45,45.50,45.30,45.40,-0.80,"6,354"
283,108/03/26,"17,470,215","791,742,422",45.40,45.55,45.15,45.25,-0.15,"6,644"
284,108/03/27,"29,356,132","1,309,774,410",45.00,45.00,44.50,44.50,-0.75,"13,280"
285,108/03/28,"36,170,131","1,594,103,372",44.30,44.30,44.00,44.00,-0.50,"13,443"
286,108/04/01,"14,878,783","665,692,472",44.95,45.10,44.50,44.50,-0.45,"7,901"
287,108/04/02,"10,855,057","487,327,660",44.90,45.10,44.75,44.80,+0.30,"3,541"
288,108/04/03,"12,602,318","565,424,454",45.00,45.00,44.75,44.80, 0.00,"4,538"
